 1.35935639e+05  4.26179187e-02 -1.96489111e-01 
 1.58489319e+05  3.22771334e-02 -1.70348527e-01 
 1.84784980e+05  2.45262536e-02 -1.47277795e-01 
 2.15443469e+05  1.87446397e-02 -1.27068603e-01 
 2.51188643e+05  1.44474926e-02 -1.09463879e-01 
 2.92864456e+05  1.12622228e-02 -9.41905911e-02 
 3.41454887e+05  8.90582707e-03 -8.09799132e-02 
 3.98107171e+05  7.16517896e-03 -6.95786966e-02 
 4.64158883e+05  5.88077553e-03 -5.97552296e-02 
 5.41169527e+05  4.93378968e-03 -5.13014095e-02 
 6.30957344e+05  4.23599322e-03 -4.40327639e-02 
 7.35642254e+05  3.72203819e-03 -3.77872622e-02 
 8.57695899e+05  3.34361050e-03 -3.24235124e-02 
 1.00000000e+06  3.06503705e-03 -2.78187112e-02 
 1.16591440e+06  2.86000386e-03 -2.38665628e-02 
 1.35935639e+06  2.70911440e-03 -2.04752874e-02 
 1.58489319e+06  2.59807841e-03 -1.75657836e-02 
 1.84784980e+06  2.51637147e-03 -1.50699678e-02 
 2.15443469e+06  2.45624444e-03 -1.29292986e-02 
 2.51188643e+06  2.41199233e-03 -1.10934776e-02 
 2.92864456e+06  2.37941503e-03 -9.51931397e-03 
 3.41454887e+06  2.35541980e-03 -8.16973804e-03 
 3.98107171e+06  2.33772823e-03 -7.01294688e-03 
 4.64158883e+06  2.32466025e-03 -6.02166655e-03 
 5.41169527e+06  2.31497477e-03 -5.17251645e-03 
 6.30957344e+06  2.30775190e-03 -4.44546238e-03 
 7.35642254e+06  2.30230562e-03 -3.82334671e-03 
 8.57695899e+06  2.29811871e-03 -3.29148505e-03 
 1.00000000e+07  2.29479367e-03 -2.83732041e-03 
