 2.29086765e+03  1.49519661e+02 -1.22776517e+01 
 2.51188643e+03  1.49317398e+02 -1.34439676e+01 
 2.75422870e+03  1.49074948e+02 -1.47170837e+01 
 3.01995172e+03  1.48784499e+02 -1.61055231e+01 
 3.31131121e+03  1.48436797e+02 -1.76180887e+01 
 3.63078055e+03  1.48020912e+02 -1.92637298e+01 
 3.98107171e+03  1.47523983e+02 -2.10513540e+01 
 4.36515832e+03  1.46930943e+02 -2.29895669e+01 
 4.78630092e+03  1.46224232e+02 -2.50863236e+01 
 5.24807460e+03  1.45383527e+02 -2.73484707e+01 
 5.75439937e+03  1.44385487e+02 -2.97811589e+01 
 6.30957344e+03  1.43203569e+02 -3.23871063e+01 
 6.91830971e+03  1.41807956e+02 -3.51656950e+01 
 7.58577575e+03  1.40165652e+02 -3.81118978e+01 
 8.31763771e+03  1.38240833e+02 -4.12150427e+01 
 9.12010839e+03  1.35995535e+02 -4.44574541e+01 
 1.00000000e+04  1.33390793e+02 -4.78130478e+01 
 1.09647820e+04  1.30388314e+02 -5.12460037e+01 
 1.20226443e+04  1.26952750e+02 -5.47097038e+01 
 1.31825674e+04  1.23054595e+02 -5.81461795e+01 
 1.44543977e+04  1.18673592e+02 -6.14863566e+01 
 1.58489319e+04  1.13802455e+02 -6.46513945e+01 
 1.73780083e+04  1.08450514e+02 -6.75553570e+01 
 1.90546072e+04  1.02646758e+02 -7.01093138e+01 
 2.08929613e+04  9.64416790e+01 -7.22267387e+01 
 2.29086765e+04  8.99073163e+01 -7.38297846e+01 
 2.51188643e+04  8.31351088e+01 -7.48557271e+01 
 2.75422870e+04  7.62314661e+01 -7.52626735e+01 
 3.01995172e+04  6.93114167e+01 -7.50336240e+01 
 3.31131121e+04  6.24910820e+01 -7.41781738e+01 
 3.63078055e+04  5.58799991e+01 -7.27315485e+01 
 3.98107171e+04  4.95743477e+01 -7.07511482e+01 
 4.36515832e+04  4.36519288e+01 -6.83112124e+01 
 4.78630092e+04  3.81693657e+01 -6.54964877e+01 
 5.24807460e+04  3.31615634e+01 -6.23958228e+01 
 5.75439937e+04  2.86431008e+01 -5.90964688e+01 
 6.30957344e+04  2.46110018e+01 -5.56795883e+01 
 6.91830971e+04  2.10482700e+01 -5.22171854e+01 
 7.58577575e+04  1.79276309e+01 -4.87704117e+01 
 8.31763771e+04  1.52150599e+01 -4.53890436e+01 
 9.12010839e+04  1.28728331e+01 -4.21118408e+01 
 1.00000000e+05  1.08619798e+01 -3.89674935e+01 
 1.09647820e+05  9.14411977e+00 -3.59758954e+01 
 1.20226443e+05  7.68274072e+00 -3.31495430e+01 
 1.31825674e+05  6.44400479e+00 -3.04949168e+01 
 1.44543977e+05  5.39718349e+00 -2.80137560e+01 
 1.58489319e+05  4.51481723e+00 -2.57041804e+01 
 1.73780083e+05  3.77268191e+00 -2.35616405e+01 
 1.90546072e+05  3.14962919e+00 -2.15797004e+01 
 2.08929613e+05  2.62735203e+00 -1.97506645e+01 
 2.29086765e+05  2.19011255e+00 -1.80660703e+01 
 2.51188643e+05  1.82445831e+00 -1.65170652e+01 
 2.75422870e+05  1.51894426e+00 -1.50946896e+01 
 3.01995172e+05  1.26387077e+00 -1.37900844e+01 
 3.31131121e+05  1.05104368e+00 -1.25946369e+01 
 3.63078055e+05  8.73558914e-01 -1.15000820e+01 
 3.98107171e+05  7.25612120e-01 -1.04985657e+01 
 4.36515832e+05  6.02332316e-01 -9.58268277e+00 
 4.78630092e+05  4.99637963e-01 -8.74549408e+00 
 5.24807460e+05  4.14113288e-01 -7.98052913e+00 
 5.75439937e+05  3.42902647e-01 -7.28177841e+00 
 6.30957344e+05  2.83620730e-01 -6.64367858e+00 
 6.91830971e+05  2.34276518e-01 -6.06109284e+00 
 7.58577575e+05  1.93209096e-01 -5.52928842e+00 
 8.31763771e+05  1.59033606e-01 -5.04391251e+00 
 9.12010839e+05  1.30595838e-01 -4.60096756e+00 
 1.00000000e+06  1.06934143e-01 -4.19678664e+00 
 1.09647820e+06  8.72475386e-02 -3.82800947e+00 
 1.20226443e+06  7.08690175e-02 -3.49155923e+00 
 1.31825674e+06  5.72432515e-02 -3.18462059e+00 
 1.44543977e+06  4.59079665e-02 -2.90461889e+00 
 1.58489319e+06  3.64784026e-02 -2.64920070e+00 
 1.73780083e+06  2.86343525e-02 -2.41621558e+00 
 1.90546072e+06  2.21093568e-02 -2.20369927e+00 
 2.08929613e+06  1.66816995e-02 -2.00985795e+00 
 2.29086765e+06  1.21669072e-02 -1.83305391e+00 
 2.51188643e+06  8.41150169e-03 -1.67179214e+00 
 2.75422870e+06  5.28779871e-03 -1.52470819e+00 
 3.01995172e+06  2.68957707e-03 -1.39055684e+00 
 3.31131121e+06  5.28474358e-04 -1.26820187e+00 
 3.63078055e+06 -1.26901299e-03 -1.15660657e+00 
 3.98107171e+06 -2.76402611e-03 -1.05482506e+00 
 4.36515832e+06 -4.00742095e-03 -9.61994471e-01 
 4.78630092e+06 -5.04149647e-03 -8.77327600e-01 
 5.24807460e+06 -5.90143244e-03 -8.00106360e-01 
 5.75439937e+06 -6.61648545e-03 -7.29675710e-01 
 6.30957344e+06 -7.21098372e-03 -6.65438137e-01 
 6.91830971e+06 -7.70515438e-03 -6.06848610e-01 
 7.58577575e+06 -8.11581149e-03 -5.53409979e-01 
 8.31763771e+06 -8.45692790e-03 -5.04668767e-01 
 9.12010839e+06 -8.74011057e-03 -4.60211337e-01 
 1.00000000e+07 -8.97499550e-03 -4.19660387e-01 
 1.09647820e+07 -9.16957555e-03 -3.82671757e-01 
 1.20226443e+07 -9.33047247e-03 -3.48931516e-01 
 1.31825674e+07 -9.46316227e-03 -3.18153294e-01 
 1.44543977e+07 -9.57216175e-03 -2.90075863e-01 
 1.58489319e+07 -9.66118233e-03 -2.64460921e-01 
 1.73780083e+07 -9.73325674e-03 -2.41091068e-01 
 1.90546072e+07 -9.79084264e-03 -2.19767973e-01 
 2.08929613e+07 -9.83590699e-03 -2.00310686e-01 
 2.29086765e+07 -9.86999391e-03 -1.82554111e-01 
 2.51188643e+07 -9.89427868e-03 -1.66347609e-01 
 2.75422870e+07 -9.90960978e-03 -1.51553727e-01 
 3.01995172e+07 -9.91654063e-03 -1.38047039e-01 
 3.31131121e+07 -9.91535259e-03 -1.25713093e-01 
 3.63078055e+07 -9.90607036e-03 -1.14447453e-01 
 3.98107171e+07 -9.88847115e-03 -1.04154832e-01 
 4.36515832e+07 -9.86208873e-03 -9.47483054e-02 
 4.78630092e+07 -9.82621386e-03 -8.61485981e-02 
 5.24807460e+07 -9.77989285e-03 -7.82834504e-02 
 5.75439937e+07 -9.72192630e-03 -7.10870454e-02 
 6.30957344e+07 -9.65087097e-03 -6.44995005e-02 
 6.91830971e+07 -9.56504821e-03 -5.84664191e-02 
 7.58577575e+07 -9.46256344e-03 -5.29384953e-02 
 8.31763771e+07 -9.34134193e-03 -4.78711685e-02 
 9.12010839e+07 -9.19918663e-03 -4.32243203e-02 
 1.00000000e+08 -9.03386401e-03 -3.89620034e-02 
 1.09647820e+08 -8.84322254e-03 -3.50521926e-02 
 1.20226443e+08 -8.62534607e-03 -3.14665401e-02 
 1.31825674e+08 -8.37873974e-03 -2.81801189e-02 
 1.44543977e+08 -8.10253914e-03 -2.51711346e-02 
 1.58489319e+08 -7.79672523e-03 -2.24205875e-02 
 1.73780083e+08 -7.46231898e-03 -1.99118756e-02 
 1.90546072e+08 -7.10152286e-03 -1.76303370e-02 
 2.08929613e+08 -6.71777560e-03 -1.55627468e-02 
 2.29086765e+08 -6.31569250e-03 -1.36968016e-02 
 2.51188643e+08 -5.90087911e-03 -1.20206344e-02 
 2.75422870e+08 -5.47962728e-03 -1.05224107e-02 
 3.01995172e+08 -5.05852575e-03 -9.19004855e-03 
 3.31131121e+08 -4.64403491e-03 -8.01108916e-03 
 3.63078055e+08 -4.24208241e-03 -6.97271807e-03 
 3.98107171e+08 -3.85773059e-03 -6.06191516e-03 
 4.36515832e+08 -3.49495013e-03 -5.26569216e-03 
 4.78630092e+08 -3.15651359e-03 -4.57137006e-03 
 5.24807460e+08 -2.84400233e-03 -3.96685168e-03 
 5.75439937e+08 -2.55790605e-03 -3.44085541e-03 
 6.30957344e+08 -2.29778725e-03 -2.98308917e-03 
 6.91830971e+08 -2.06248197e-03 -2.58435660e-03 
 7.58577575e+08 -1.85031198e-03 -2.23659703e-03 
 8.31763771e+08 -1.65928874e-03 -1.93286714e-03 
 9.12010839e+08 -1.48729564e-03 -1.66727530e-03 
