 3.74376672e-07  2.57817498e-04  3.74376672e-07 -7.21560625e-06  3.74376672e-07  1.97844032e-02 
 3.74760761e-07  2.55129417e-04  3.74760761e-07 -7.36027194e-06  3.74760761e-07  1.98146344e-02 
 3.75111537e-07  2.52618796e-04  3.75111537e-07 -7.47212939e-06  3.75111537e-07  1.98384618e-02 
 3.75434976e-07  2.50210089e-04  3.75434976e-07 -7.53852957e-06  3.75434976e-07  1.98553306e-02 
 3.75741270e-07  2.47808820e-04  3.75741270e-07 -7.57196721e-06  3.75741270e-07  1.98646124e-02 
 3.76042796e-07  2.45308744e-04  3.76042796e-07 -7.56339464e-06  3.76042796e-07  1.98650449e-02 
 3.76372863e-07  2.42432174e-04  3.76372863e-07 -7.52668920e-06  3.76372863e-07  1.98530539e-02 
 3.76686722e-07  2.39617910e-04  3.76686722e-07 -7.46876972e-06  3.76686722e-07  1.98279370e-02 
 3.77056342e-07  2.36349040e-04  3.77056342e-07 -7.42012604e-06  3.77056342e-07  1.97811490e-02 
 3.77349250e-07  2.33894704e-04  3.77349250e-07 -7.40440878e-06  3.77349250e-07  1.97323187e-02 
 3.77576536e-07  2.32112525e-04  3.77576536e-07 -7.42027759e-06  3.77576536e-07  1.96887082e-02 
 3.77791969e-07  2.30534275e-04  3.77791969e-07 -7.44938723e-06  3.77791969e-07  1.96439661e-02 
 3.77979896e-07  2.29253381e-04  3.77979896e-07 -7.49782146e-06  3.77979896e-07  1.96030983e-02 
 3.78165041e-07  2.28079050e-04  3.78165041e-07 -7.55302012e-06  3.78165041e-07  1.95619226e-02 
 3.78349332e-07  2.26997102e-04  3.78349332e-07 -7.62904218e-06  3.78349332e-07  1.95207380e-02 
 3.78570922e-07  2.25808541e-04  3.78570922e-07 -7.72867860e-06  3.78570922e-07  1.94719361e-02 
 3.78812081e-07  2.24653185e-04  3.78812081e-07 -7.86335565e-06  3.78812081e-07  1.94209766e-02 
 3.79076855e-07  2.23544722e-04  3.79076855e-07 -8.01932287e-06  3.79076855e-07  1.93692750e-02 
 3.79329752e-07  2.22638482e-04  3.79329752e-07 -8.18601899e-06  3.79329752e-07  1.93256564e-02 
 3.79683871e-07  2.21607729e-04  3.79683871e-07 -8.40997163e-06  3.79683871e-07  1.92772005e-02 
 3.80073313e-07  2.20786242e-04  3.80073313e-07 -8.64652905e-06  3.80073313e-07  1.92452174e-02 
 3.80531107e-07  2.20192699e-04  3.80531107e-07 -8.86372629e-06  3.80531107e-07  1.92427093e-02 
 3.81019500e-07  2.19917027e-04  3.81019500e-07 -9.03558198e-06  3.81019500e-07  1.92886370e-02 
 3.81588834e-07  2.19894232e-04  3.81588834e-07 -9.14181364e-06  3.81588834e-07  1.94121059e-02 
