 3.98107171e+03  9.83650309e-01 -1.26469572e-01 
 4.64158883e+03  9.77931169e-01 -1.46594704e-01 
 5.41169527e+03  9.70262712e-01 -1.69575574e-01 
 6.30957344e+03  9.60029517e-01 -1.95623728e-01 
 7.35642254e+03  9.46460479e-01 -2.24854250e-01 
 8.57695899e+03  9.28619294e-01 -2.57214942e-01 
 1.00000000e+04  9.05419279e-01 -2.92392119e-01 
 1.16591440e+04  8.75681517e-01 -3.29697932e-01 
 1.35935639e+04  8.38258380e-01 -3.67957408e-01 
 1.58489319e+04  7.92238746e-01 -4.05433102e-01 
 1.84784980e+04  7.37228217e-01 -4.39845568e-01 
 2.15443469e+04  6.73653387e-01 -4.68552858e-01 
 2.51188643e+04  6.02985461e-01 -4.88919509e-01 
 2.92864456e+04  5.27751902e-01 -4.98824589e-01 
 3.41454887e+04  4.51250550e-01 -4.97158524e-01 
 3.98107171e+04  3.77005634e-01 -4.84111584e-01 
 4.64158883e+04  3.08142202e-01 -4.61123072e-01 
 5.41169527e+04  2.46902719e-01 -4.30515060e-01 
 6.30957344e+04  1.94448371e-01 -3.94972518e-01 
 7.35642254e+04  1.50943417e-01 -3.57063625e-01 
 8.57695899e+04  1.15814981e-01 -3.18923893e-01 
 1.00000000e+05  8.80588869e-02 -2.82127378e-01 
 1.16591440e+05  6.65014310e-02 -2.47700191e-01 
 1.35935639e+05  4.99806223e-02 -2.16211705e-01 
 1.58489319e+05  3.74489462e-02 -1.87890333e-01 
 1.84784980e+05  2.80169669e-02 -1.62732088e-01 
 2.15443469e+05  2.09595308e-02 -1.40588238e-01 
 2.51188643e+05  1.57019981e-02 -1.21229636e-01 
 2.92864456e+05  1.17981404e-02 -1.04390696e-01 
 3.41454887e+05  8.90646909e-03 -8.97976201e-02 
 3.98107171e+05  6.76840541e-03 -7.71853664e-02 
 4.64158883e+05  5.18965635e-03 -6.63069853e-02 
 5.41169527e+05  4.02505365e-03 -5.69380191e-02 
 6.30957344e+05  3.16658012e-03 -4.88778433e-02 
 7.35642254e+05  2.53410503e-03 -4.19492082e-02 
 8.57695899e+05  2.06831667e-03 -3.59967949e-02 
 1.00000000e+06  1.72538483e-03 -3.08852967e-02 
 1.16591440e+06  1.47295859e-03 -2.64973376e-02 
 1.35935639e+06  1.28718091e-03 -2.27314071e-02 
 1.58489319e+06  1.15046981e-03 -1.94999108e-02 
 1.84784980e+06  1.04987404e-03 -1.67273859e-02 
 2.15443469e+06  9.75856682e-04 -1.43488988e-02 
 2.51188643e+06  9.21396773e-04 -1.23086249e-02 
 2.92864456e+06  8.81326425e-04 -1.05586026e-02 
 3.41454887e+06  8.51842108e-04 -9.05764565e-03 
 3.98107171e+06  8.30144531e-04 -7.77039948e-03 
 4.64158883e+06  8.14173363e-04 -6.66652452e-03 
 5.41169527e+06  8.02411858e-04 -5.71999118e-03 
 6.30957344e+06  7.93742956e-04 -4.90847240e-03 
 7.35642254e+06  7.87343272e-04 -4.21282110e-03 
 8.57695899e+06  7.82604929e-04 -3.61662087e-03 
 1.00000000e+07  7.79077848e-04 -3.10580015e-03 
